room_type,price,review_scores_rating,accommodates,bedrooms,beds,bed_type,host_is_superhost,bathrooms,availability_365,number_of_reviews,city_normalized,distance_to_city
Entire Home/Apt,385.4,67.6,4.9,3.3,2.2,Real Bed,0,2.3,205,492.7,Chicago,7.651335
Entire Home/Apt,899.39,77.2,5.1,4.9,3.9,Real Bed,0,2.5,214,453.4,Seattle,14.322208
Private Room,949.13,53.6,5.6,4.5,2.2,Pull-out Sofa,1,2.2,8,481.4,Chicago,3.139959
Shared Room,897.93,89.5,7.4,2.6,1.2,Airbed,1,1.5,105,426.3,New York,5.2914
Shared Room,448.48,60.9,3.5,2.5,2.5,Real Bed,0,1.0,317,438.8,Chicago,11.041037
Entire Home/Apt,791.35,83.9,2.1,2.2,3.9,Futon,1,2.6,244,299.4,San Francisco,28.489545
Entire Home/Apt,502.52,90.2,6.0,1.6,2.3,Real Bed,0,2.6,306,422.7,New York,49.651352
Private Room,522.66,78.1,3.9,1.6,3.5,Real Bed,1,2.4,102,267.0,Seattle,42.342442
Private Room,244.45,87.0,5.0,1.5,3.6,Real Bed,0,1.2,274,269.1,Seattle,5.207486
Shared Room,611.57,83.1,6.8,1.5,3.9,Airbed,0,2.2,324,281.3,Chicago,42.27484
Hotel Room,226.83,67.8,5.4,2.0,4.6,Real Bed,1,2.6,337,498.2,Chicago,27.279254
Shared Room,364.99,90.4,6.6,2.2,2.7,Airbed,1,1.8,32,52.2,Seattle,33.35585
Entire Home/Apt,862.28,64.7,5.9,4.8,1.7,Airbed,1,1.4,107,402.8,New York,7.35852
Shared Room,246.72,78.6,7.7,3.3,2.3,Pull-out Sofa,0,2.2,268,136.7,Los Angeles,20.376571
Hotel Room,117.6,87.3,7.4,5.0,2.7,Futon,0,2.7,72,180.6,Seattle,44.321964
Private Room,115.56,68.9,5.8,2.5,3.9,Real Bed,1,1.1,345,40.3,San Francisco,21.842916
Hotel Room,943.75,65.1,7.1,2.8,1.1,Real Bed,0,2.2,180,175.8,New York,7.22856
Hotel Room,531.57,73.0,8.9,2.3,2.3,Real Bed,1,2.3,267,495.4,Los Angeles,16.242689
Hotel Room,438.94,90.9,4.9,1.7,4.1,Airbed,0,2.2,151,198.5,Los Angeles,11.854466
Private Room,820.33,96.5,4.7,1.6,3.7,Couch,0,2.3,67,334.8,New York,34.657955
Hotel Room,844.03,77.3,7.9,4.8,3.9,Futon,1,2.3,347,60.4,Seattle,45.64036
Hotel Room,365.58,83.1,6.2,4.9,4.2,Real Bed,1,1.3,196,461.2,Los Angeles,36.941008
Hotel Room,708.94,95.2,1.6,1.2,4.1,Couch,0,1.5,294,413.9,San Francisco,42.337379
Entire Home/Apt,782.57,54.9,9.0,1.6,3.7,Couch,0,2.2,31,193.1,New York,40.485065
Hotel Room,671.92,61.6,1.3,2.7,2.8,Couch,0,1.0,107,174.2,Chicago,1.715611
Private Room,194.02,85.4,7.7,1.7,4.9,Futon,0,2.3,78,216.1,Seattle,7.09414
Hotel Room,882.09,91.2,7.8,2.5,3.3,Couch,1,2.3,258,200.6,New York,21.745575
Hotel Room,562.14,92.9,9.6,1.5,1.8,Real Bed,1,1.5,365,129.0,San Francisco,6.492394
Private Room,318.35,70.8,1.5,2.8,2.2,Real Bed,1,2.2,174,495.4,Los Angeles,37.011803
Hotel Room,453.97,54.5,6.4,2.1,3.8,Pull-out Sofa,0,2.1,14,405.3,Seattle,4.439184
Private Room,85.69,71.9,4.9,2.4,4.7,Airbed,0,1.5,50,134.0,Seattle,21.395852
Hotel Room,171.47,61.5,4.0,1.4,1.7,Couch,0,1.9,106,490.9,New York,20.222171
Private Room,777.27,64.6,1.8,2.7,1.3,Airbed,0,2.8,209,7.8,New York,27.628837
Hotel Room,50.01,88.6,6.1,4.9,4.5,Airbed,1,1.9,201,218.9,San Francisco,31.839495
Hotel Room,445.74,53.8,5.3,2.3,4.7,Airbed,1,2.3,276,284.7,Chicago,47.400862
Entire Home/Apt,546.38,91.4,1.9,4.5,2.1,Airbed,1,1.1,217,18.8,New York,14.288055
Entire Home/Apt,101.9,71.4,6.5,4.4,2.5,Airbed,0,1.2,40,80.5,New York,33.63324
Hotel Room,974.42,79.8,7.6,4.8,3.6,Real Bed,1,1.2,258,129.1,New York,2.719155
Hotel Room,264.82,54.5,7.9,4.2,2.3,Futon,1,2.6,202,360.1,San Francisco,1.049343
Shared Room,338.99,66.9,9.1,3.6,4.5,Couch,1,1.7,335,469.9,Los Angeles,2.242552
Private Room,338.75,54.5,4.7,4.4,1.4,Couch,1,1.5,98,312.3,Chicago,22.996676
Shared Room,268.9,98.1,9.6,1.3,1.2,Real Bed,0,2.5,148,281.3,San Francisco,28.195644
Entire Home/Apt,51.4,90.4,8.8,2.9,1.8,Real Bed,0,1.3,104,268.4,New York,1.304371
Entire Home/Apt,742.88,73.0,3.7,5.0,2.1,Airbed,1,1.5,202,175.4,Los Angeles,20.424165
Entire Home/Apt,968.5,61.2,2.4,4.1,1.5,Futon,1,1.9,94,413.9,New York,3.001978
Entire Home/Apt,263.08,96.7,4.9,4.8,1.3,Couch,1,1.7,176,270.4,San Francisco,33.010913
Hotel Room,679.89,67.2,4.6,4.1,4.0,Pull-out Sofa,1,2.2,64,115.1,Seattle,31.93037
Entire Home/Apt,754.8,58.0,6.2,4.5,1.7,Real Bed,1,1.7,40,68.4,New York,39.425015
Hotel Room,856.0,78.2,6.3,3.8,4.7,Pull-out Sofa,0,1.8,223,492.8,Los Angeles,27.766783
Hotel Room,451.5,97.2,7.7,4.0,2.5,Couch,1,2.7,66,8.7,Chicago,31.524542
Entire Home/Apt,337.78,50.2,5.6,3.1,3.7,Real Bed,1,2.8,254,466.7,Seattle,14.691545
Entire Home/Apt,359.03,61.9,1.9,4.7,1.9,Couch,1,2.7,297,109.2,New York,5.187237
Private Room,726.99,96.9,8.7,4.3,2.0,Real Bed,0,2.7,68,328.8,New York,37.128002
Shared Room,825.94,58.6,3.8,4.4,3.3,Couch,0,2.1,170,150.8,Los Angeles,30.981303
Entire Home/Apt,222.53,55.7,9.7,3.7,3.2,Pull-out Sofa,0,2.3,100,429.9,Seattle,46.97826
Private Room,402.39,78.5,2.1,2.2,4.1,Futon,0,2.1,139,271.7,Seattle,49.472066
Private Room,906.84,93.1,9.6,1.1,4.0,Real Bed,0,2.6,205,70.5,Seattle,42.516918
Shared Room,816.36,73.9,1.8,4.7,3.7,Pull-out Sofa,1,2.1,319,134.9,New York,49.295471
Hotel Room,985.62,99.7,3.1,3.3,2.8,Couch,1,1.2,363,160.2,Seattle,32.724869
Entire Home/Apt,766.54,84.0,1.4,2.2,4.6,Pull-out Sofa,0,2.6,306,443.0,New York,5.505509
Shared Room,423.54,53.7,7.3,1.6,3.5,Real Bed,0,2.5,72,383.4,New York,5.401794
Entire Home/Apt,611.11,99.6,8.7,4.3,5.0,Pull-out Sofa,0,2.6,59,414.8,Seattle,40.548869
Private Room,677.96,70.4,4.9,4.3,4.3,Couch,1,1.4,335,26.1,San Francisco,12.606161
Private Room,124.53,64.4,9.4,4.3,1.2,Airbed,0,1.5,155,289.4,Chicago,3.988422
Hotel Room,567.27,77.9,6.3,3.6,2.3,Futon,0,1.6,123,499.6,Chicago,24.141456
Private Room,723.85,65.2,6.7,2.5,3.3,Futon,0,2.0,13,392.6,San Francisco,16.417647
Private Room,208.96,54.3,8.6,2.2,3.9,Airbed,1,1.3,263,60.4,Seattle,29.819308
Shared Room,791.6,50.1,3.7,1.0,3.2,Real Bed,0,1.8,26,339.4,New York,30.407401
Entire Home/Apt,604.58,72.5,4.2,4.3,4.1,Pull-out Sofa,1,1.4,244,372.7,Los Angeles,34.393549
Entire Home/Apt,954.61,91.8,9.2,1.3,2.1,Pull-out Sofa,1,1.5,49,257.1,San Francisco,29.245674
Shared Room,90.3,78.6,9.1,3.5,1.7,Airbed,1,2.4,186,39.4,Chicago,19.664984
Hotel Room,302.06,100.0,9.8,3.0,1.2,Airbed,1,2.7,56,17.3,Chicago,2.159668
Entire Home/Apt,621.48,64.3,9.1,3.1,3.3,Couch,1,1.0,258,468.9,New York,45.349335
Private Room,331.73,64.0,2.1,4.7,3.8,Couch,0,2.1,154,128.8,Chicago,17.019165
Entire Home/Apt,728.7,58.0,8.4,1.1,2.3,Futon,1,1.1,33,189.5,Chicago,25.850378
Private Room,771.06,58.2,4.7,4.1,3.5,Real Bed,1,1.2,25,397.6,New York,28.289942
Hotel Room,147.39,64.3,9.9,1.2,1.2,Real Bed,1,2.4,249,344.6,Seattle,16.427794
Shared Room,538.16,89.6,5.3,1.2,1.4,Airbed,0,2.5,85,484.3,Chicago,16.115567
Entire Home/Apt,533.45,95.3,6.0,2.7,3.8,Futon,1,2.6,159,46.4,Seattle,13.782215
Shared Room,400.82,98.8,5.8,1.3,2.5,Futon,1,1.9,199,353.5,Los Angeles,12.924314
Entire Home/Apt,936.28,61.6,3.9,4.2,3.7,Couch,1,2.7,105,41.1,Seattle,2.489391
Private Room,836.13,94.1,1.7,3.1,4.3,Pull-out Sofa,0,1.3,274,0.1,New York,47.937815
Shared Room,712.35,66.4,9.1,1.1,4.4,Real Bed,1,1.5,288,60.1,New York,30.169507
Entire Home/Apt,728.61,55.6,8.2,1.2,1.7,Futon,1,1.3,257,308.4,New York,6.295283
Private Room,488.63,93.5,2.3,3.5,2.9,Couch,1,2.6,219,338.1,Chicago,30.005963
Shared Room,924.94,81.8,8.0,4.2,3.9,Couch,1,1.5,14,219.2,San Francisco,12.380132
Shared Room,709.87,58.2,6.6,2.8,4.1,Couch,1,1.3,20,23.0,Chicago,16.223421
Entire Home/Apt,742.53,71.5,4.7,3.2,4.1,Pull-out Sofa,1,2.2,333,317.0,Seattle,40.257241
Entire Home/Apt,868.61,64.4,3.3,4.2,1.9,Futon,1,1.2,58,42.9,Los Angeles,44.404299
Entire Home/Apt,310.37,86.8,8.7,3.4,1.8,Airbed,0,1.1,359,70.9,Los Angeles,35.291371
Private Room,816.72,72.7,7.3,1.9,3.4,Airbed,0,1.2,81,256.3,Los Angeles,46.696493
Entire Home/Apt,235.48,99.5,5.9,3.5,4.0,Couch,0,1.0,117,170.2,Los Angeles,45.346326
Shared Room,378.07,52.7,6.5,3.5,2.3,Couch,1,2.4,112,232.4,San Francisco,28.007336
Shared Room,368.83,67.8,1.8,3.9,1.4,Pull-out Sofa,0,2.1,294,317.5,Los Angeles,45.484486
Entire Home/Apt,979.6,74.1,5.3,3.5,3.9,Couch,1,1.4,275,80.0,Chicago,27.7049
Entire Home/Apt,863.71,75.2,2.7,4.9,2.2,Futon,0,1.5,256,446.5,Los Angeles,6.109426
Hotel Room,716.11,65.8,2.9,1.8,1.7,Couch,0,2.6,328,279.7,New York,41.643309
Shared Room,740.7,86.5,7.0,4.8,1.6,Couch,1,2.0,264,11.0,Seattle,7.428921
Private Room,583.97,93.7,9.2,3.2,2.3,Futon,1,2.4,234,314.2,Chicago,16.482047
Hotel Room,949.74,96.9,4.6,3.7,3.4,Real Bed,1,1.9,50,231.6,San Francisco,19.609847
Entire Home/Apt,521.45,90.3,2.9,1.4,2.4,Airbed,1,1.5,165,350.8,Chicago,40.557011
Entire Home/Apt,411.49,92.5,6.8,2.5,1.1,Couch,1,2.9,230,392.0,New York,5.093297
Shared Room,204.88,77.5,8.8,4.1,1.4,Futon,0,2.1,220,469.4,Los Angeles,22.802132
Entire Home/Apt,796.9,91.3,7.7,3.8,2.2,Airbed,1,1.3,270,499.2,Los Angeles,22.399075
Private Room,747.72,65.2,8.8,1.2,3.6,Pull-out Sofa,0,1.8,83,274.8,San Francisco,29.525852
Shared Room,415.14,69.9,5.8,3.2,1.4,Real Bed,0,1.7,229,280.8,Seattle,18.33957
Entire Home/Apt,73.93,65.8,7.8,1.4,3.2,Couch,1,1.4,296,11.2,Los Angeles,29.280962
Shared Room,847.05,73.4,2.3,5.0,1.5,Real Bed,0,2.9,221,432.6,San Francisco,49.30882
Entire Home/Apt,60.85,64.3,4.1,4.6,1.8,Couch,0,2.8,153,14.4,Los Angeles,4.50591
Entire Home/Apt,718.51,98.1,4.5,1.1,1.7,Couch,1,1.4,53,316.3,Chicago,43.856794
Entire Home/Apt,971.74,65.6,5.6,4.4,1.3,Couch,1,1.7,118,49.3,San Francisco,16.122842
Private Room,465.78,54.9,9.4,4.7,3.7,Real Bed,0,2.5,197,142.9,San Francisco,23.820105
Private Room,273.22,76.3,8.9,2.4,2.9,Pull-out Sofa,0,1.4,272,70.2,San Francisco,37.314757
Shared Room,719.63,52.9,2.2,3.9,4.3,Futon,0,2.2,197,68.7,Los Angeles,45.591787
Entire Home/Apt,826.27,55.5,2.6,2.8,1.4,Futon,1,2.4,127,37.3,San Francisco,1.444699
Entire Home/Apt,569.11,61.0,4.2,3.6,1.6,Pull-out Sofa,1,2.3,91,158.9,Chicago,33.447421
Private Room,968.68,73.2,3.6,2.4,2.2,Pull-out Sofa,1,2.4,8,211.8,Seattle,4.408065
Entire Home/Apt,99.09,71.7,6.5,2.3,4.1,Couch,0,2.4,226,232.2,Seattle,26.758247
Private Room,529.56,90.0,9.1,2.7,2.2,Couch,1,2.9,45,219.9,New York,37.738244
Entire Home/Apt,732.53,87.0,9.7,1.6,2.6,Futon,1,1.7,133,261.8,Chicago,9.307173
Shared Room,869.51,71.3,6.9,4.3,2.2,Couch,0,2.8,15,429.9,Chicago,38.425464
Entire Home/Apt,220.29,66.7,8.5,2.4,1.3,Couch,0,1.0,214,315.9,San Francisco,16.167355
Entire Home/Apt,810.0,65.8,5.7,2.6,4.8,Pull-out Sofa,0,1.6,111,8.6,New York,30.917005
Hotel Room,575.07,88.7,2.9,4.6,3.2,Real Bed,1,1.1,342,86.5,Chicago,33.244011
Private Room,426.73,52.6,5.7,3.0,4.2,Airbed,1,2.3,156,174.5,Chicago,32.800056
Entire Home/Apt,175.13,50.6,6.0,3.2,3.6,Airbed,1,1.2,317,474.5,Chicago,1.908695
Entire Home/Apt,872.03,89.8,7.7,4.8,3.1,Couch,1,2.7,359,39.0,Los Angeles,8.461426
Hotel Room,199.41,73.9,3.0,4.5,1.4,Couch,1,2.3,295,355.1,Chicago,42.953932
Hotel Room,344.3,56.5,4.3,1.7,3.6,Airbed,1,1.1,197,16.5,Los Angeles,47.052271
Private Room,325.54,61.8,4.3,2.9,1.6,Pull-out Sofa,1,2.4,57,181.3,Chicago,28.619727
Hotel Room,877.84,96.6,9.6,4.9,2.7,Airbed,0,2.7,77,385.1,Seattle,30.251597
Shared Room,689.07,93.0,5.0,2.5,3.5,Airbed,1,2.3,241,172.0,Los Angeles,37.996499
Hotel Room,806.85,85.5,7.8,2.5,4.1,Airbed,1,1.1,98,215.1,Los Angeles,20.899159
Shared Room,287.94,74.1,7.8,1.8,3.7,Couch,0,2.7,5,452.7,San Francisco,17.072801
Private Room,643.63,76.0,3.4,1.5,3.7,Couch,0,2.5,278,33.1,Chicago,38.641882
Private Room,593.16,98.8,6.1,4.0,1.6,Airbed,0,1.8,317,263.8,New York,2.385997
Private Room,841.19,98.3,9.0,4.1,2.4,Couch,0,1.7,211,183.1,New York,44.381968
Private Room,910.78,60.8,5.3,4.9,1.2,Airbed,1,2.0,272,481.9,New York,22.604224
Private Room,61.55,90.6,9.5,4.1,3.9,Pull-out Sofa,1,2.7,83,396.8,New York,25.707202
Shared Room,690.32,59.9,2.9,2.0,4.8,Couch,0,1.5,111,61.0,Seattle,32.07963
Shared Room,99.24,60.7,1.7,1.2,2.1,Real Bed,0,1.2,197,463.7,New York,14.444902
Private Room,571.42,83.8,9.0,4.9,1.4,Couch,1,2.7,359,105.6,San Francisco,30.271987
Hotel Room,323.25,70.3,8.6,2.4,2.9,Pull-out Sofa,0,1.1,27,42.4,New York,34.958908
Entire Home/Apt,341.44,96.6,9.9,2.2,4.4,Pull-out Sofa,0,2.8,140,270.8,San Francisco,6.778641
Private Room,385.31,54.5,7.1,4.6,3.2,Couch,1,1.6,172,368.3,Los Angeles,26.503068
Hotel Room,640.23,75.6,9.4,3.3,1.2,Futon,0,2.0,19,358.0,Chicago,17.141587
Entire Home/Apt,367.35,95.9,8.4,1.9,4.9,Airbed,1,1.3,116,267.0,New York,28.310529
Private Room,746.06,95.2,8.6,4.6,4.3,Airbed,0,2.8,53,246.4,San Francisco,2.04342
Private Room,434.3,57.8,6.1,5.0,1.5,Pull-out Sofa,1,2.5,226,484.8,San Francisco,37.391337
Shared Room,114.94,68.3,4.4,1.3,4.7,Couch,0,2.8,108,410.3,Chicago,9.251821
Entire Home/Apt,794.57,81.0,9.4,4.4,2.8,Futon,1,2.4,230,349.3,Los Angeles,34.77996
Entire Home/Apt,321.47,58.0,4.9,2.6,2.5,Real Bed,1,1.4,319,97.6,New York,38.671931
Hotel Room,461.13,98.4,5.8,3.1,2.8,Airbed,0,1.6,307,409.9,San Francisco,37.877988
Shared Room,701.17,95.7,5.0,4.7,4.3,Futon,0,2.0,228,374.9,New York,41.057603
Shared Room,365.83,58.3,6.1,4.9,3.6,Airbed,0,2.2,298,496.0,Seattle,16.079512
Shared Room,103.76,56.1,5.2,2.0,1.2,Couch,0,2.9,86,66.5,San Francisco,48.388545
Shared Room,405.22,54.3,1.4,1.9,4.8,Airbed,0,1.8,273,357.6,Los Angeles,2.167091
Entire Home/Apt,947.23,95.5,8.9,1.3,1.6,Real Bed,1,2.4,227,489.5,Chicago,24.578805
Entire Home/Apt,659.65,59.7,5.0,3.2,4.0,Couch,1,2.9,339,231.3,San Francisco,14.243962
Private Room,687.91,70.8,6.3,1.1,3.5,Pull-out Sofa,1,1.3,309,366.7,Seattle,37.254142
Private Room,650.67,72.4,2.3,2.6,1.8,Futon,1,2.7,315,487.7,Chicago,40.455941
Shared Room,239.04,80.0,1.0,1.3,1.7,Airbed,0,1.8,70,273.7,Los Angeles,41.297234
Shared Room,447.42,53.6,3.2,2.6,4.5,Couch,1,2.5,227,349.5,New York,15.548299
Shared Room,763.39,61.3,7.3,1.2,2.7,Couch,1,1.6,112,10.0,New York,14.432886
Private Room,146.3,96.6,1.9,4.3,3.6,Airbed,1,1.7,292,259.8,San Francisco,34.16985
Hotel Room,313.96,95.4,9.2,1.8,3.0,Pull-out Sofa,0,1.1,304,127.9,Chicago,46.481034
Hotel Room,312.5,89.1,2.9,2.3,3.9,Airbed,0,2.9,290,65.6,Seattle,13.456056
Private Room,460.42,51.0,2.8,4.5,2.9,Pull-out Sofa,1,2.6,104,354.3,Seattle,45.619385
Private Room,981.35,66.4,2.6,4.0,2.1,Airbed,0,1.2,290,19.5,Los Angeles,29.981608
Private Room,114.13,81.4,1.1,1.9,2.5,Couch,1,3.0,8,452.4,Chicago,37.158963
Private Room,542.77,63.8,7.9,1.3,4.4,Real Bed,0,2.2,164,258.9,Chicago,22.554712
Private Room,220.4,95.5,8.9,3.9,2.9,Real Bed,0,2.7,59,324.1,New York,40.536004
Private Room,972.14,81.7,6.5,2.6,1.9,Couch,0,1.1,311,126.7,Los Angeles,48.554152
Shared Room,157.64,53.6,2.7,4.1,4.7,Real Bed,1,1.8,105,91.1,Los Angeles,9.358211
Shared Room,433.42,95.5,3.6,2.8,4.2,Pull-out Sofa,0,2.3,110,121.9,Los Angeles,19.892412
Shared Room,750.99,97.9,5.3,2.4,1.2,Couch,1,1.2,88,116.1,Chicago,43.260376
Shared Room,719.33,53.9,9.6,2.8,5.0,Pull-out Sofa,0,2.0,267,432.3,New York,9.656971
Private Room,451.59,76.6,3.2,4.0,3.8,Couch,1,1.9,229,393.7,Los Angeles,21.235209
Hotel Room,379.2,65.2,7.6,4.6,1.6,Pull-out Sofa,1,1.4,326,426.4,New York,9.13964
Entire Home/Apt,427.73,69.6,5.0,1.2,1.9,Pull-out Sofa,1,1.6,70,367.4,Los Angeles,32.770045
Private Room,301.06,59.0,3.7,3.1,3.8,Real Bed,1,2.9,118,321.8,Chicago,12.677638
Entire Home/Apt,245.07,78.9,5.1,1.1,4.1,Couch,1,1.6,350,263.9,New York,19.659303
Hotel Room,508.89,97.9,1.6,2.9,2.0,Airbed,1,1.4,305,132.7,San Francisco,25.065549
Shared Room,305.11,75.2,8.2,4.5,2.0,Real Bed,0,2.1,102,352.7,Los Angeles,15.559315
Hotel Room,323.09,54.1,3.2,2.4,2.2,Pull-out Sofa,1,2.3,201,68.3,Chicago,34.315146
Private Room,673.92,81.0,7.5,4.7,3.4,Pull-out Sofa,0,2.5,22,255.5,New York,6.451223
Shared Room,970.11,67.0,1.6,3.5,1.7,Airbed,1,2.5,89,97.6,Seattle,44.110237
Private Room,623.46,92.8,9.6,4.7,1.4,Airbed,1,1.1,92,252.4,Chicago,24.585682
Shared Room,123.13,71.7,2.7,4.0,3.7,Pull-out Sofa,0,1.8,263,147.0,Chicago,29.067893
Entire Home/Apt,121.8,59.6,8.9,1.4,4.1,Airbed,1,2.5,284,26.7,Seattle,31.484354
Entire Home/Apt,953.85,59.6,8.3,1.9,3.0,Futon,0,2.8,170,251.9,Seattle,3.92442
Entire Home/Apt,332.43,88.4,9.7,2.6,2.5,Real Bed,1,2.2,308,90.9,San Francisco,38.092547
Hotel Room,137.46,63.3,5.3,1.7,2.7,Couch,0,1.1,220,80.6,San Francisco,47.351151
Private Room,619.09,88.4,7.5,3.0,2.6,Airbed,0,1.8,23,192.2,San Francisco,26.47549
Hotel Room,642.47,60.3,4.3,2.9,4.8,Airbed,1,1.1,201,180.9,Chicago,20.152567
Entire Home/Apt,666.08,66.1,2.7,4.8,4.1,Futon,0,2.5,123,433.5,Chicago,39.454997
Private Room,304.03,73.3,5.0,2.7,1.8,Couch,0,1.1,141,282.3,Chicago,36.297295
Entire Home/Apt,64.36,97.2,2.5,4.1,2.5,Futon,1,1.4,51,427.3,San Francisco,32.897814
Hotel Room,966.76,96.6,9.8,4.8,3.2,Couch,1,1.8,69,73.4,New York,48.30222
Hotel Room,288.35,60.3,1.9,4.5,3.5,Real Bed,1,1.9,259,178.7,Chicago,29.506947
Hotel Room,692.22,67.9,6.3,1.8,2.9,Airbed,0,1.8,185,277.7,Chicago,13.170411
Entire Home/Apt,721.3,57.5,6.6,3.0,4.2,Real Bed,0,1.9,206,76.6,Chicago,2.213536
Private Room,629.51,75.5,5.8,2.4,4.1,Couch,0,2.4,292,64.0,San Francisco,23.219639
Private Room,347.26,73.0,7.0,2.6,3.0,Airbed,1,1.7,303,330.7,Los Angeles,32.963854
Entire Home/Apt,307.54,95.0,2.0,2.4,4.4,Futon,1,2.1,38,326.9,San Francisco,9.434818
Private Room,617.78,96.5,6.0,4.3,4.0,Pull-out Sofa,0,1.6,347,117.1,Los Angeles,2.262423
Entire Home/Apt,872.79,69.2,3.6,2.8,4.1,Futon,1,1.7,65,113.6,San Francisco,45.545383
Private Room,949.4,74.6,9.5,3.1,4.8,Pull-out Sofa,1,2.2,12,372.7,New York,15.795424
Shared Room,150.61,94.8,7.9,4.9,2.1,Futon,1,2.0,193,58.5,New York,23.836422
Shared Room,197.09,90.3,9.8,1.2,2.1,Couch,1,2.4,315,461.6,Chicago,5.462475
Hotel Room,947.5,50.2,1.3,3.0,4.6,Real Bed,1,2.1,287,471.9,San Francisco,19.699052
Shared Room,749.71,66.0,3.6,4.1,4.1,Pull-out Sofa,0,2.6,132,435.5,Los Angeles,21.764892
Shared Room,888.84,71.1,2.8,1.6,4.7,Couch,0,1.9,194,105.3,Los Angeles,45.234482
Shared Room,242.5,61.5,1.1,3.4,1.3,Real Bed,1,2.0,321,8.4,New York,43.407416
Entire Home/Apt,608.21,60.0,3.2,2.0,3.5,Real Bed,1,2.3,77,468.3,Chicago,10.2611
Shared Room,716.08,51.9,7.1,4.5,1.6,Airbed,0,1.4,249,172.0,Los Angeles,28.247049
Shared Room,696.11,82.2,3.1,2.3,3.0,Airbed,0,1.8,231,155.2,San Francisco,36.831142
Hotel Room,437.74,63.1,5.6,2.3,1.6,Airbed,0,2.2,179,130.8,Chicago,15.300678
Shared Room,64.63,52.6,9.0,3.4,1.5,Pull-out Sofa,0,1.1,176,122.3,San Francisco,20.327216
Shared Room,603.78,61.5,7.2,1.7,1.0,Pull-out Sofa,0,1.9,28,367.3,San Francisco,49.259183
Private Room,290.45,90.1,4.6,2.1,3.5,Real Bed,1,2.2,165,453.9,New York,38.226875
Hotel Room,477.74,92.6,4.4,2.7,2.4,Pull-out Sofa,0,2.9,325,393.0,San Francisco,22.421823
Hotel Room,959.7,74.2,5.1,2.4,1.4,Real Bed,0,2.8,225,337.1,Seattle,27.170003
Hotel Room,429.08,70.8,2.6,3.1,2.3,Couch,0,1.6,135,143.9,Chicago,31.663335
Hotel Room,847.81,98.9,6.7,3.4,1.7,Futon,0,2.0,186,273.5,Seattle,25.443187
Hotel Room,229.11,60.0,4.3,3.3,4.8,Real Bed,1,1.1,54,118.5,San Francisco,21.169382
Hotel Room,688.84,60.8,8.7,3.6,2.3,Real Bed,1,1.5,365,55.8,San Francisco,18.608136
Entire Home/Apt,978.16,64.6,7.8,2.2,2.3,Couch,0,2.5,1,60.1,New York,9.2801
Shared Room,146.8,58.6,6.5,1.5,4.4,Airbed,0,1.2,318,301.9,New York,48.707435
Hotel Room,57.9,69.0,4.3,4.0,3.6,Airbed,1,1.5,16,19.2,New York,5.479223
Shared Room,461.9,95.5,2.9,4.4,3.8,Airbed,0,2.9,58,486.6,New York,30.450097
Shared Room,137.99,80.8,8.0,2.0,3.5,Real Bed,0,2.6,87,497.7,Los Angeles,48.02052
Entire Home/Apt,760.97,70.6,5.4,2.6,4.8,Real Bed,1,2.6,222,74.7,New York,19.371649
Hotel Room,918.82,96.7,3.0,3.0,1.8,Pull-out Sofa,1,2.7,271,213.7,San Francisco,13.368646
Private Room,462.32,52.4,2.8,3.1,5.0,Pull-out Sofa,0,2.5,57,384.0,San Francisco,47.820626
Entire Home/Apt,295.78,60.5,2.5,3.6,4.3,Futon,0,1.2,191,477.5,Chicago,40.285227
Private Room,462.68,78.3,8.0,1.2,3.4,Futon,1,2.0,49,445.7,Seattle,33.096227
Shared Room,737.28,80.8,3.1,3.9,3.6,Pull-out Sofa,1,1.9,212,127.4,Los Angeles,30.987433
Shared Room,58.6,52.0,5.7,1.2,3.6,Real Bed,1,1.6,229,42.6,Los Angeles,18.64618
Entire Home/Apt,609.98,70.2,5.1,2.9,1.2,Couch,0,2.7,153,144.4,Chicago,32.424646
Entire Home/Apt,632.63,82.5,6.2,4.3,1.9,Pull-out Sofa,0,1.9,272,218.6,Chicago,36.526246
Private Room,655.8,84.9,8.9,2.8,4.8,Real Bed,0,1.1,45,180.0,New York,2.554818
Hotel Room,279.92,81.9,8.8,1.6,3.1,Pull-out Sofa,1,1.5,361,386.9,Chicago,6.766812
Private Room,728.35,66.0,5.1,4.9,2.5,Airbed,0,1.5,305,128.9,Los Angeles,16.440411
Entire Home/Apt,136.82,54.7,1.1,4.6,4.0,Pull-out Sofa,1,2.8,117,429.3,Seattle,16.833292
Private Room,239.31,71.4,4.8,4.1,3.1,Airbed,0,2.3,175,112.8,Seattle,45.125281
Entire Home/Apt,883.6,56.4,6.5,2.6,1.1,Real Bed,1,2.1,67,180.7,Los Angeles,34.540765
Private Room,751.79,97.4,6.0,1.7,3.9,Airbed,0,2.0,250,223.9,New York,19.30172
Entire Home/Apt,63.06,73.8,6.9,4.8,3.9,Pull-out Sofa,1,2.3,229,145.6,Seattle,40.650905
Entire Home/Apt,285.96,65.9,2.4,3.1,1.7,Airbed,1,2.5,199,383.2,Seattle,16.836549
Entire Home/Apt,253.69,88.3,6.8,4.4,4.8,Couch,1,2.1,145,204.8,New York,49.547051
Hotel Room,307.27,74.9,2.6,2.4,1.9,Airbed,1,2.9,50,443.5,Seattle,39.299371
Private Room,285.18,65.5,7.8,2.3,2.8,Airbed,0,3.0,185,481.8,San Francisco,40.611111
